hsgrad,nonwhite,mhs,fhs,income,asvab,nsibs,intact
Yes,No,Yes,Yes,4.909,-0.11,1,No
Yes,No,Yes,No,6.94,0.452,4,No
Yes,No,Yes,Yes,11,0.967,1,Yes
Yes,No,No,No,15,1.667,2,No
Yes,Yes,No,No,2.544,0,2,No
Yes,No,No,Yes,9.391,0,3,No
Yes,No,No,Yes,3.175,0.46,3,No
Yes,No,No,Yes,10.5,-0.62,1,Yes
Yes,No,No,Yes,15.105,1.257,3,Yes
Yes,No,No,No,20,1.11,1,Yes
Yes,No,No,No,12.5,0.85,2,No
Yes,No,Yes,No,6.351,1.573,1,Yes
Yes,No,No,No,11.18,0.725,2,Yes
Yes,No,No,Yes,26.833,1.662,2,Yes
Yes,No,No,No,6,0.588,1,Yes
Yes,No,No,No,15.119,0.749,4,Yes
Yes,No,Yes,Yes,4.899,0.437,3,Yes
Yes,No,Yes,Yes,4.899,1.151,3,Yes
Yes,No,Yes,Yes,9.839,0.749,2,No
No,No,Yes,Yes,7.348,-0.027,3,Yes
Yes,No,No,No,12,1.569,2,Yes
Yes,No,No,No,12,0.964,2,Yes
Yes,No,No,Yes,8.944,0.682,3,Yes
Yes,No,Yes,Yes,10.286,0.186,3,Yes
Yes,No,Yes,Yes,13.416,0.17,2,Yes
Yes,No,No,No,13,1.09,2,Yes
Yes,No,Yes,Yes,14,0.504,1,Yes
Yes,No,No,No,35,1.585,1,Yes
Yes,No,No,No,15,0.803,1,Yes
No,No,No,No,5.814,-0.771,2,No
Yes,No,Yes,No,9.5,-0.191,2,Yes
Yes,No,No,No,12.969,0.502,3,Yes
Yes,No,No,No,12.969,-0.574,3,Yes
Yes,No,No,No,2.887,-0.1,7,Yes
Yes,No,Yes,Yes,6.532,0.727,3,Yes
Yes,No,No,No,3.536,-0.842,6,Yes
Yes,No,Yes,Yes,6.708,1.122,3,Yes
No,No,No,No,2.858,-0.974,4,No
No,No,No,Yes,7,-0.692,2,No
Yes,No,Yes,No,13.5,1.432,3,Yes
Yes,No,Yes,No,13.5,0.988,3,Yes
Yes,No,Yes,Yes,9.391,0.074,4,Yes
Yes,No,Yes,No,12.5,0.265,1,Yes
Yes,No,No,No,10.206,1.286,3,Yes
No,No,Yes,Yes,8.083,-0.572,1,No
No,Yes,No,Yes,2.179,-1.019,4,No
No,Yes,No,No,2.309,-1.68,2,Yes
No,No,No,No,6.94,-0.317,3,Yes
Yes,No,Yes,Yes,22.5,-0.9,2,Yes
No,No,Yes,Yes,12.247,-1.171,3,Yes
Yes,No,Yes,Yes,12.247,0.81,3,Yes
Yes,No,Yes,No,7.603,1.548,3,Yes
Yes,No,Yes,No,6.842,0.267,2,Yes
Yes,No,Yes,Yes,18.52,0.285,4,Yes
Yes,No,Yes,Yes,8.971,0.177,4,No
No,No,Yes,Yes,11.18,0.214,3,Yes
Yes,No,Yes,No,16.33,-0.101,3,Yes
Yes,No,Yes,No,14.758,1.31,2,Yes
No,Yes,No,Yes,2.415,-0.313,5,No
Yes,Yes,No,Yes,2.884,-0.18,5,No
Yes,Yes,No,No,8.126,-1.754,4,Yes
Yes,No,No,Yes,14.5,1.018,3,Yes
No,Yes,No,No,3.78,-1.425,11,No
Yes,No,Yes,Yes,17.5,1.181,5,Yes
Yes,No,No,Yes,8.944,-0.865,2,Yes
Yes,No,No,Yes,8.944,0.506,2,Yes
Yes,No,No,No,7.5,0.419,4,Yes
Yes,No,Yes,Yes,17.321,0.567,0,Yes
Yes,No,Yes,No,10.392,-1.404,1,Yes
Yes,No,No,No,5,1.496,1,Yes
Yes,No,No,No,20,1.057,1,Yes
Yes,No,Yes,Yes,5.774,-1.528,3,No
Yes,No,Yes,Yes,13.416,-0.263,4,Yes
Yes,No,Yes,Yes,13.416,-0.742,4,Yes
Yes,No,Yes,No,23.094,1.447,2,Yes
No,No,No,No,2.91,-1.114,4,No
Yes,No,Yes,Yes,12,0.61,1,Yes
Yes,No,Yes,No,19.654,-0.742,4,Yes
Yes,No,Yes,No,10.733,0.026,2,Yes
Yes,No,Yes,No,17.321,0.883,3,Yes
Yes,No,Yes,Yes,20.572,0.802,3,Yes
Yes,No,No,No,13,-0.428,3,Yes
Yes,No,Yes,Yes,14.311,1.276,2,Yes
Yes,No,Yes,Yes,13.685,1.218,2,Yes
Yes,Yes,No,No,3.101,0.369,4,No
No,Yes,No,No,2.475,-1.287,7,No
Yes,Yes,No,No,11.068,-0.765,7,Yes
No,No,No,No,4.899,-0.393,4,Yes
No,No,No,No,4.899,-1.68,9,Yes
No,No,No,No,4.919,-0.577,3,No
Yes,No,Yes,No,11.068,1.711,7,Yes
Yes,No,Yes,No,11.068,1.201,7,No
Yes,No,Yes,No,25.981,0.722,1,Yes
Yes,Yes,No,Yes,2.432,0.187,3,No
Yes,Yes,No,Yes,5.774,0.424,2,No
Yes,No,No,No,9.798,0.899,3,Yes
Yes,No,No,Yes,12.374,0.283,5,Yes
Yes,No,No,No,12.374,0.453,5,Yes
Yes,No,No,No,10,-0.51,7,Yes
Yes,No,No,Yes,7.778,-0.284,1,No
Yes,No,No,No,11.023,-1.474,3,Yes
Yes,Yes,No,No,3.748,-1.608,8,No
Yes,No,Yes,Yes,13.5,0.175,2,Yes
Yes,No,Yes,No,12.5,0.66,1,Yes
Yes,No,Yes,No,12.5,0.408,1,Yes
No,No,No,No,16.166,-1,2,Yes
Yes,No,Yes,No,37.501,1.432,2,Yes
Yes,No,Yes,Yes,6.928,0.869,1,No
Yes,No,Yes,No,10,0.801,1,Yes
Yes,No,Yes,No,15.652,0.904,2,Yes
Yes,Yes,No,No,9.238,1.161,1,No
Yes,Yes,No,No,9.238,0.409,1,No
No,Yes,No,No,8.333,-1.475,6,Yes
No,Yes,No,Yes,8.333,-1.713,6,Yes
Yes,Yes,No,Yes,8.333,-1.364,6,Yes
Yes,Yes,Yes,No,8.66,-0.825,4,Yes
Yes,No,No,No,2.041,-1.44,11,No
Yes,No,Yes,Yes,13.416,0.148,2,Yes
Yes,No,Yes,Yes,13.416,1.011,2,Yes
Yes,No,Yes,Yes,5.774,-0.351,2,Yes
Yes,No,No,No,10.392,-0.336,0,Yes
Yes,No,No,No,14.434,0.13,4,No
No,No,Yes,No,6.283,-0.701,2,Yes
Yes,No,No,No,23.094,1.667,1,Yes
Yes,No,No,No,5.307,-1.092,3,No
Yes,No,Yes,No,2.236,0.033,6,No
Yes,No,No,Yes,13.1,0.761,1,Yes
Yes,No,No,No,0,-0.532,3,Yes
Yes,Yes,No,No,3.13,-0.509,6,No
Yes,Yes,No,Yes,9.016,-0.042,6,Yes
Yes,Yes,No,Yes,9.016,0.146,5,Yes
No,No,Yes,Yes,7.757,-0.967,3,Yes
Yes,No,Yes,No,10.286,1.642,2,Yes
Yes,No,Yes,No,10.286,1.164,2,Yes
Yes,No,Yes,No,10.286,0.897,2,Yes
Yes,No,No,Yes,7.603,-0.068,2,Yes
Yes,No,Yes,No,10.733,0.75,2,Yes
Yes,No,Yes,No,25.981,0.146,0,Yes
Yes,No,No,Yes,20,0.763,2,Yes
Yes,No,Yes,Yes,9.827,-0.137,4,Yes
Yes,No,No,No,7.559,-0.55,5,Yes
Yes,No,Yes,Yes,12.247,-0.778,3,Yes
Yes,No,Yes,Yes,12.247,1.094,3,Yes
Yes,No,Yes,No,17.321,0.824,0,Yes
No,Yes,Yes,Yes,5.06,-0.278,8,Yes
Yes,Yes,No,No,16,-1.189,1,Yes
Yes,No,No,No,6.94,-0.473,3,Yes
Yes,No,Yes,No,5.367,1.274,4,Yes
Yes,No,No,Yes,14.434,0.873,4,No
Yes,No,Yes,No,26.833,0.136,3,Yes
Yes,No,No,Yes,5.303,-1.298,5,Yes
No,No,Yes,No,5.303,0.566,5,Yes
Yes,No,No,No,11.339,1.02,4,Yes
Yes,No,No,No,11.339,1.405,4,Yes
Yes,No,No,No,19,0,6,Yes
Yes,No,No,No,16.994,0.67,6,Yes
Yes,No,No,No,14.849,1.323,2,No
Yes,No,No,No,12.5,1.105,1,Yes
Yes,No,Yes,Yes,33.541,0,4,Yes
Yes,No,Yes,Yes,8.944,0.975,4,Yes
Yes,No,Yes,No,9.5,1.284,2,Yes
Yes,No,Yes,Yes,6.94,1.426,3,Yes
Yes,No,Yes,Yes,6.94,-1.297,3,Yes
Yes,No,Yes,No,12.969,1.169,2,Yes
Yes,No,Yes,Yes,8.944,0.615,2,Yes
Yes,No,Yes,Yes,8.839,1.129,6,Yes
Yes,No,Yes,Yes,8.839,-0.462,6,Yes
Yes,No,Yes,Yes,10,1.073,1,Yes
Yes,No,No,Yes,10,-0.503,9,Yes
Yes,No,Yes,Yes,7.348,0.109,3,Yes
Yes,No,Yes,Yes,11.18,0.251,2,Yes
Yes,No,Yes,Yes,9.391,-0.582,6,Yes
Yes,No,No,No,30.619,1.319,3,Yes
Yes,No,No,No,30.619,1.299,3,Yes
Yes,No,Yes,Yes,10.5,0.763,2,Yes
Yes,No,Yes,No,7.598,0.379,4,No
Yes,No,Yes,Yes,12.45,0.507,1,Yes
Yes,Yes,No,Yes,2.933,0.747,4,No
Yes,No,Yes,No,8.66,0.477,3,Yes
Yes,No,No,Yes,9,1.136,2,Yes
Yes,No,Yes,Yes,13.279,-0.149,0,Yes
Yes,No,No,No,10.206,-1.378,3,Yes
Yes,No,No,No,10.206,1.245,3,Yes
Yes,No,No,No,2.449,-0.094,6,Yes
Yes,No,Yes,No,2.797,-1.65,6,No
Yes,No,Yes,No,8.944,-1.41,2,Yes
Yes,No,No,Yes,15,0.578,1,Yes
Yes,No,No,Yes,14.434,1.449,2,Yes
Yes,No,Yes,Yes,12.247,1.498,3,Yes
Yes,No,Yes,Yes,12.247,0.782,3,Yes
Yes,No,Yes,Yes,9.5,0,1,Yes
Yes,No,No,No,5.5,-0.232,2,No
Yes,No,No,No,22.808,0.873,3,Yes
No,No,No,No,5.814,-1.423,2,Yes
Yes,No,No,No,7.603,0.387,8,Yes
Yes,No,Yes,No,25,1.173,2,Yes
Yes,No,Yes,Yes,4,0,3,No
No,No,No,Yes,10.206,0.546,3,Yes
Yes,No,Yes,No,23.094,1.423,2,Yes
Yes,No,Yes,No,5.657,-0.89,3,No
No,Yes,Yes,No,8.165,-1.419,3,Yes
Yes,No,Yes,No,14.758,0.39,2,Yes
Yes,No,No,No,13.416,0.435,2,Yes
Yes,No,Yes,Yes,8.944,1.073,2,Yes
Yes,Yes,No,No,1.812,-1.258,4,Yes
Yes,No,No,No,7.603,-1.079,6,No
Yes,No,Yes,Yes,8.497,-0.03,1,Yes
Yes,No,No,Yes,5.228,-0.85,2,No
No,No,Yes,Yes,9,-0.502,1,Yes
Yes,No,Yes,No,11,0.633,2,Yes
Yes,Yes,Yes,Yes,9,-1.125,2,Yes
Yes,Yes,Yes,Yes,2.147,-0.64,1,No
Yes,Yes,Yes,No,5.116,-1.229,1,No
Yes,Yes,Yes,Yes,8.165,0.146,4,Yes
Yes,No,No,No,20,0.412,1,Yes
Yes,No,No,No,7,-1.428,1,Yes
Yes,No,No,Yes,6.708,0,2,Yes
Yes,No,No,Yes,6.708,0,2,Yes
Yes,No,No,Yes,6.708,-0.209,2,Yes
Yes,No,Yes,Yes,11.5,0.127,1,Yes
Yes,No,Yes,No,26.517,1.513,7,Yes
Yes,No,No,No,15.652,0.129,2,Yes
