"","Job","Job_partner","Household_size","Education","Education_partner","Edu_diff","Dad_Edu","Mum_Edu","Parents_gap","Parents_gap_cat","emp14Father","emp14Mother","emp14Diff","gndr2","gndr3","gndr4","gndr5","gndr6","gndr7","gndr8","gndr9","gndr10","gndr11","gndr12","gndr13","gndr14","gndr15","Gender_share","Approval","Interfere","Female","Immigrant","Age","Age_sq","Domicile","Maritalstatus","Child","Minority","Country","Income","Income_sq","Interviewe_Female","Job_diff","Unemployed","Unemployed_partner","Housework_partner","Employment_partner","Trust","Religiosity","weight","Vignette_gender"
"1",56,51,2,3,6,-3,7,2,5,"Father more",2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,2,1,49,2401,3,3,NA,2,"DE",10,100,0,5,0,0,0,1,7,8,3.03572368021592,1
"2",64,NA,2,4,4,0,1,4,-3,"Mother more",1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,1,1,73,5329,4,3,2,2,"FI",2,4,1,NA,0,0,1,NA,8,8,0.263402051,1
"3",62.63,NA,2,7,4,3,2,4,-2,"Mother more",1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4,0,1,1,63,3969,4,1,2,2,"FR",6,36,1,NA,0,0,0,NA,5,5,3.05406596015597,1
"4",66,NA,2,7,4,3,2,1,1,"Father more",2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,1,1,71,5041,2,1,2,2,"BE",4,16,1,NA,0,0,1,NA,7,9,0.537483352498609,1
"5",55.8,34.44,2,7,7,0,4,4,0,"Equal",NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,1,63,3969,1,1,3,2,"BG",5,25,1,21.36,0,0,0,1,4,5,0.134726265656139,0
"6",32,NA,2,2,5,-3,1,2,-1,"Mother more",1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,1,79,6241,3,1,1,2,"IE",1,1,0,NA,0,0,0,NA,5,5,0.159209099744686,0
"7",30.05,46,2,3,1,2,6,6,0,"Equal",1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2,0,2,1,25,625,4,4,NA,2,"BE",5,25,0,-15.95,0,0,0,1,3,0,0.537483288646099,1
"8",32.25,NA,4,2,3,-1,1,1,0,"Equal",1,3,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0.75,3,0,1,1,46,2116,4,1,3,2,"RS",4,16,1,NA,0,1,1,NA,3,10,0.26668782189338,1
"9",72,NA,2,7,4,3,4,4,0,"Equal",4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,1,71,5041,4,1,5,1,"EE",4,16,0,NA,0,0,0,NA,7,5,0.0578997557440916,0
"10",32,32.49,3,2,1,1,1,2,-1,"Mother more",1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,2,1,55,3025,4,1,3,2,"BE",9,81,1,-0.490000000000002,0,0,0,1,5,5,0.519904277707005,1
